"","course_code","title","credits","department","course_number"
"304","ARTC 255","Introduction to Ceramics","4","ARTC","255"
"305","ARTC 354","Industrial Ceramics","4","ARTC","354"
"306","ARTC 355","Intermediate Ceramics: [Topic]","4-5","ARTC","355"
"307","ARTC 401","Research: [Topic]","1-12","ARTC","401"
"308","ARTC 404","Internship: [Topic]","1-12","ARTC","404"
"309","ARTC 405","Special Problems: [Topic]","1-12","ARTC","405"
"310","ARTC 406","Practicum: [Topic]","1-12","ARTC","406"
"311","ARTC 407","Seminar: [Topic]","1-3","ARTC","407"
"312","ARTC 408","Workshop: [Topic]","1-6","ARTC","408"
"313","ARTC 409","Terminal Creative Project BFA","1-12","ARTC","409"
"314","ARTC 410","Experimental Course: [Topic]","1-6","ARTC","410"
"315","ARTC 455","Advanced Ceramics","4","ARTC","455"
"316","ARTF 199","Special Studies: [Topic]","1-5","ARTF","199"
"317","ARTF 270","Introduction to Fibers: [Topic]","4","ARTF","270"
"318","ARTF 368","Textile Printing","4","ARTF","368"
"319","ARTF 369","Woven Structures","4","ARTF","369"
"320","ARTF 370","Stitchwork Strategies","4","ARTF","370"
"321","ARTF 401","Research: [Topic]","1-12","ARTF","401"
"322","ARTF 404","Internship: [Topic]","1-12","ARTF","404"
"323","ARTF 405","Reading and Conference: [Topic]","1-6","ARTF","405"
"324","ARTF 406","Practicum: [Topic]","1-12","ARTF","406"
"325","ARTF 407","Seminar: [Topic]","1-3","ARTF","407"
"326","ARTF 408","Workshop: [Topic]","1-6","ARTF","408"
"327","ARTF 409","Terminal Creative Project BFA","1-12","ARTF","409"
"328","ARTF 410","Experimental Course: [Topic]","1-6","ARTF","410"
"329","ARTF 456","Advanced Fibers: [Topic]","3-5","ARTF","456"
"330","ARTM 199","Special Studies: [Topic]","1-5","ARTM","199"
"331","ARTM 257","Introduction to Jewelry and Metalsmithing","4","ARTM","257"
"332","ARTM 357","Metalsmithing and Jewelry: [Topic]","3-5","ARTM","357"
"333","ARTM 401","Research: [Topic]","1-12","ARTM","401"
"334","ARTM 404","Internship: [Topic]","1-12","ARTM","404"
"335","ARTM 405","Reading and Conference: [Topic]","1-6","ARTM","405"
"336","ARTM 406","Practicum: [Topic]","1-12","ARTM","406"
"337","ARTM 407","Seminar: [Topic]","1-3","ARTM","407"
"338","ARTM 408","Workshop: [Topic]","1-6","ARTM","408"
"339","ARTM 409","Terminal Creative Project BFA","1-12","ARTM","409"
"340","ARTM 410","Experimental Course: [Topic]","1-6","ARTM","410"
"341","ARTM 457","Metalsmithing and Jewelry: [Topic]","3-5","ARTM","457"
"342","ARTM 459","Advanced Metalsmithing and Jewelry","3-5","ARTM","459"
"343","ARTP 199","Special Studies: [Topic]","1-5","ARTP","199"
"344","ARTP 281","Introductory Painting I","4","ARTP","281"
"345","ARTP 381","Introductory Painting II","4","ARTP","381"
"346","ARTP 390","Intermediate and Advanced Painting","4","ARTP","390"
"347","ARTP 391","Intermediate and Advanced Drawing","4","ARTP","391"
"348","ARTP 401","Research: [Topic]","1-12","ARTP","401"
"349","ARTP 404","Internship: [Topic]","1-12","ARTP","404"
"350","ARTP 405","Reading and Conference: [Topic]","1-6","ARTP","405"
"351","ARTP 406","Practicum: [Topic]","1-12","ARTP","406"
"352","ARTP 407","Seminar: [Topic]","1-3","ARTP","407"
"353","ARTP 408","Workshop: [Topic]","1-6","ARTP","408"
"354","ARTP 409","Terminal Creative Project BFA","1-12","ARTP","409"
"355","ARTP 410","Experimental Course: [Topic]","1-6","ARTP","410"
"356","ARTO 199","Special Studies: [Topic]","1-5","ARTO","199"
"357","ARTO 250","Introduction to Photography","4","ARTO","250"
"358","ARTO 350","Film and Darkroom","4","ARTO","350"
"359","ARTO 351","Constructed Image Photography","4","ARTO","351"
"360","ARTO 352","Creative Large-Format Photography","4","ARTO","352"
"361","ARTO 401","Research: [Topic]","1-12","ARTO","401"
"362","ARTO 404","Internship: [Topic]","1-12","ARTO","404"
"363","ARTO 405","Reading and Conference: [Topic]","1-6","ARTO","405"
"364","ARTO 406","Practicum: [Topic]","1-12","ARTO","406"
"365","ARTO 407","Seminar: [Topic]","1-4","ARTO","407"
"366","ARTO 408","Workshop: [Topic]","1-6","ARTO","408"
"367","ARTO 409","Terminal Creative Project BFA","1-12","ARTO","409"
"368","ARTO 410","Experimental Course: [Topic]","1-6","ARTO","410"
"369","ARTO 455","Conceptual Strategies in Photography","4","ARTO","455"
"370","ARTO 476","Alternative Photographic Processes","4","ARTO","476"
"371","ARTO 484","Advanced Photography: [Topic]","4","ARTO","484"
"372","ARTR 199","Special Studies: [Topic]","1-5","ARTR","199"
"373","ARTR 245","Introduction to Printmaking","4","ARTR","245"
"374","ARTR 346","Relief","4","ARTR","346"
"375","ARTR 347","Intaglio","4","ARTR","347"
"376","ARTR 348","Screen Printing","4","ARTR","348"
"377","ARTR 401","Research: [Topic]","1-12","ARTR","401"
"378","ARTR 404","Internship: [Topic]","1-12","ARTR","404"
"379","ARTR 405","Reading and Conference: [Topic]","1-6","ARTR","405"
"380","ARTR 406","Practicum: [Topic]","1-12","ARTR","406"
"381","ARTR 407","Seminar: [Topic]","1-3","ARTR","407"
"382","ARTR 408","Workshop: [Topic]","1-6","ARTR","408"
"383","ARTR 409","Terminal Creative Project BFA","1-12","ARTR","409"
"384","ARTR 410","Experimental Course: [Topic]","1-6","ARTR","410"
"385","ARTR 446","Intermediate and Advanced Printmaking","4","ARTR","446"
"386","ARTS 199","Special Studies: [Topic]","1-5","ARTS","199"
"387","ARTS 288","Sculpture I: Mixed Media","3-5","ARTS","288"
"388","ARTS 393","Sculpture II: [Topic]","3-5","ARTS","393"
"389","ARTS 401","Research: [Topic]","1-12","ARTS","401"
"390","ARTS 404","Internship: [Topic]","1-12","ARTS","404"
"391","ARTS 405","Reading and Conference: [Topic]","1-6","ARTS","405"
"392","ARTS 406","Practicum: [Topic]","1-12","ARTS","406"
"393","ARTS 407","Seminar: [Topic]","1-3","ARTS","407"
"394","ARTS 408","Workshop: [Topic]","1-6","ARTS","408"
"395","ARTS 409","Terminal Creative Project BFA","1-12","ARTS","409"
"396","ARTS 410","Experimental Course: [Topic]","1-6","ARTS","410"
"397","ARTS 490","Issues and Practices in Sculpture","3-5","ARTS","490"
"398","ARTS 491","Methodologies: [Topic]","4","ARTS","491"
"399","ARTS 493","Advanced Sculpture","4","ARTS","493"
"400","ASIA 111","Great Books on Modern Asia","4","ASIA","111"
"401","ASIA 199","Special Studies: [Topic]","1-5","ASIA","199"
"402","ASIA 350","What Is Asia: Theoretical Debates","4","ASIA","350"
"403","ASIA 399","Special Studies: [Topic]","1-5","ASIA","399"
"404","ASIA 401","Research: [Topic]","1-16","ASIA","401"
"405","ASIA 403","Thesis","1-12","ASIA","403"
"406","ASIA 405","Reading and Conference: [Topic]","1-16","ASIA","405"
"407","ASIA 406","Practicum: [Topic]","1-16","ASIA","406"
"408","ASIA 407","Seminar: [Topic]","1-5","ASIA","407"
"409","ASIA 409","Terminal Project","1-12","ASIA","409"
"410","ASIA 410","Experimental Course: [Topic]","1-5","ASIA","410"
"411","ASIA 425","Asian Foodways","4","ASIA","425"
"412","ASIA 480","Chinese Economy: Transition, Development, Globalization","4","ASIA","480"
"413","ASTR 121","The Solar System","4","ASTR","121"
"414","ASTR 122","Birth and Death of Stars","4","ASTR","122"
"415","ASTR 123","Galaxies and the Expanding Universe","4","ASTR","123"
"416","ASTR 199","Special Studies: [Topic]","1-5","ASTR","199"
"417","ASTR 321","Topics in Astrophysics","4","ASTR","321"
"418","BEHT 320","Youth Risk and Resilience","3","BEHT","320"
"419","BEHT 321","Digital Media and Behavioral Health","4","BEHT","321"
"420","BEHT 340","Evidence-Informed Decision-Making","4","BEHT","340"
"421","BEHT 350","Foundations of Culturally Responsive Practice","4","BEHT","350"
"422","BEHT 351","Diversity Equity and Inclusion II","3","BEHT","351"
"423","BEHT 399","Special Studies: [Topic]","1-5","BEHT","399"
"424","BEHT 401","Research: [Topic]","1-12","BEHT","401"
"425","BEHT 402","Supervised College Teaching","1-12","BEHT","402"
"426","BEHT 403","Thesis","1-12","BEHT","403"
"427","BEHT 404","Internship: [Topic]","1-12","BEHT","404"
"428","BEHT 405","Reading and Conference: [Topic]","1-12","BEHT","405"
"429","BEHT 406","Practicum: [Topic]","1-12","BEHT","406"
"430","BEHT 407","Seminar: [Topic]","1-5","BEHT","407"
"431","BEHT 408","Workshop: [Topic]","1-12","BEHT","408"
"432","BEHT 409","Terminal Project","1-12","BEHT","409"
"433","BEHT 410","Experimental Course: [Topic]","1-5","BEHT","410"
"434","BEHT 411","Foundational Interviewing and Counseling Skills","4","BEHT","411"
"435","BEHT 412","Ethics and Professional Practice for CBHS","4","BEHT","412"
"436","BEHT 413","Screening and Risk Assessment","4","BEHT","413"
"437","BEHT 450","Supporting Behavioral Health of Tribal Youth","3","BEHT","450"
"438","BEHT 451","Behavioral Health: Asian and Pacific Islander","3","BEHT","451"
"439","BEHT 452","Supporting Behavioral Health of Latinx Youth","3","BEHT","452"
"440","BEHT 453","Supporting Behavioral Health of Black Youth","3","BEHT","453"
"441","BEHT 454","Supporting Neurodiverse and Disabled Youth","3","BEHT","454"
"442","BEHT 455","Improving Behavioral Health of LGBTQ Youth","3","BEHT","455"
